zw,Please select your battalion,What is your time in service?,"Have you completed a mobilization or deployment? (SAD, Title 10, Title 32, etc.)",If you are deploying in the next twelve months do you have any questions or concerns regarding an upcoming deployment?,Have you used any form of educational assistance?,"If ""yes"" what educational benefits have you utilized and have you had any issues utilizing them?",Are you aware of the 211 resource?,Have you had any pay issues to include bonuses not being paid in a timely manner?,Do you feel like your leadership is competent and interested in your development as a soldier and civilian?,Would you be interested in extending or re-enlisting?,Would you be interested in re-enlisting or extending if you were at a different unit?,Would you be interested in re-enlisting or extending if you could acquire a new MOS?,Do you feel valued at your unit?,What made you join the Army National Guard?,What has changed over the course of your enlistment that may have negatively impacted your desire to stay in? ,"In as much detail as you would like, please explain why you are, or are not interested in extending or re-enlisting.",What changes would you make to improve the morale of soldiers within your company or battlion?,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Have you attended any military schools other than your initial entry training?,"If ""No"" please elaborate on what would make you feel like a more valued asset to the team."
1/28/2025 15:00:22,PHPAA (1-116th INF BN),Less than 3 years,No,siodf,Yes,,Yes,No,No,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,,,Answer,Answer,,,,,,,,
1/28/2025 16:35:44,PHPAA (1-116th INF BN),Greater than 12 years,Yes,I think we all have lots of unanswered questions on the upcoming deployment due to where we are in the timeline ,Yes,State TA ,Yes,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Wanted to serve my country ,The push of retention is not matched by the tools a unit has to assist in retention effort ,"I’m at 18 years and will finish, God willing ","Training focus. New incentives management system to ensure timely payment of incentives.  de-linking BRS from incentives eligibility, return to grant style state tuition program, reduce the restrictions on reenlistment incentives to allow soldiers to be retained while exploring other aspects of the VAARNG.  Looking into funding for tricare for Mday Soldiers akin to MD ARNG ",,,,,,,,
1/28/2025 18:30:18,PHPAA (1-116th INF BN),Greater than 12 years,Yes,,Yes,"Montgomery GI Bill and Post 9/11 GI Bill, state and federal tuition assistance ",No,No,Yes,No,No,No,Yes,A sense of pride and a desire to serve my community ,"A flawed perspective of leaders. Leaders Refusing to be flexible with personnel. Leaders mentality to follow through on negative personnel actions immediately, but it takes over 6 months and scrutiny at all levels to give a soldier an award. ",My views and perspectives do not align with the leaders in the vaarng. Family and civilian careers have to come first. The guard can not attempt to supersede everything else in a service members life. ,"When soldiers say they are leaving due to training and optempo, listen to them. Set priorities and stick to them. Be transparent at all echelons. Provide true soldier care, not just say it as a buzz word. ",,,,,,,Yes,
1/28/2025 19:07:23,PHPAA (1-116th INF BN),Greater than 3 years but less than 6,Yes,,Yes,GI bill,No,No,No,No,No,Yes,Yes,My Dad,My motivation ,Better job,None,,,,,,,No,
1/28/2025 19:16:34,PHPAA (1-116th INF BN),Greater than 12 years,Yes,Just where and when,Yes,Tuition assistance and Ohio national guard scholarship,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Left active duty but wanted to continue to serve,Poor leadership,Keep serving,New to unit so to early to tell,,,,,,,Yes,
1/28/2025 19:29:00,PHPAA (1-116th INF BN),Greater than 3 years but less than 6,No,,Yes,Post 9/11 GI bill,No,Yes,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,The bonus ,Lack of promotion ,Possible career change ,N/a,,,,,,,Yes,
1/28/2025 19:34:55,PHPAA (1-116th INF BN),Less than 3 years,Yes,None,Yes,Federal tuition assistance ,No,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,Opportunities,None,I am not interested in extending due to being offered opportunities outside the guard.,Communication ,,,,,,,No,
1/28/2025 19:42:19,PHPAA (1-116th INF BN),Greater than 6 years but less than 12,Yes,N/A,No,N/A,Yes,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Change of pace from active duty army,N/A,Just haven't made my mind up yet. Time will tell ,N/A,,,,,,,Yes,N/A
1/28/2025 20:24:13,PHPAA (1-116th INF BN),Less than 3 years,No,No,No,,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Become a infantryman ,Nothing,Wanna do better things in the army,Do more badass stuff,,,,,,,No,
1/29/2025 9:17:30,P1XAA (276th EN),Greater than 6 years but less than 12,Yes,No,No,,No,No,No,Undecided,Yes,Yes,Yes,Insurance ,We never do our job ,We never have the opportunity to do our job. All drills with the exception of AT is motorpool maintenence.,More opportunities to do our jobs. ,,,,,,,Yes,
1/29/2025 10:16:18,PHPAA (1-116th INF BN),Less than 3 years,Yes,,No,,No,No,Yes,Undecided,No,I am happy in my current MOS,Yes,School and experience ,Opportunities to go to schools ,I am interested if I can be sent to schools in the summer like ranger or mountain ,I would like more detailed information in emails sent out as far as what exactly I would be volunteering for and what I am doing,,,,,,,Yes,
1/29/2025 10:56:43,PHPAA (1-116th INF BN),Greater than 12 years,Yes,N/A,Yes,Federal TA - No Issues,No,No,Yes,Yes,Yes,Yes,Yes,For a sense of purpose and to serve my community and country. ,Time away from family as well as having to drive further to get to my unit. ,"I’m very interested in extending. As much as I enjoyed my time in B Co, the drive is a bit far and due to my service connected disabilities, it’s hard to complete infantry tasks. I would like the re-enlist but change my MOS and IST to the NC Guard to a unit closer to home. ",Change up our training plans. We always conduct the same battle drills year after year and don’t change up how we are doing them. I would also like to see us involve other units into our training as well as other branches. We have a lot of resources at Fort Barfoot that are under utilized and I feel like we could incorporate these things for better overalll training and morale.,,,,,,,Yes,
